LocationID,hour,cx,cy,cluster_id,intensity_hour,avg_fare_hour,avg_duration_min_hour
77,12,-73.89536411750332,40.66655893903528,59,2488,21.784447513812154,17.751657458563535
90,3,-73.99697141558364,40.74227862901228,2,2487,39.03923705722071,19.946911898274294
218,15,-73.77303565610488,40.672089706767316,72,2486,22.147472527472527,17.05352564102564
227,17,-74.00465205914722,40.641886315765205,75,2485,26.373929539295393,22.492411924119242
56,6,-73.85884524944,40.741406774829755,50,2483,25.73163101604278,17.571524064171122
146,14,-73.93482888929137,40.75424252050029,2,2483,32.775638888888885,24.30402777777778
65,1,-73.98608600498393,40.69533752946118,3,2482,28.421999999999997,18.567417840375587
168,2,-73.91682193806464,40.80734716766524,21,2482,20.49536523929471,13.45071368597817
86,7,-73.75524369679601,40.602432793416696,69,2480,27.42752659574468,19.714804964539006
163,6,-73.97756868222714,40.76442140578679,2,2480,64.5435593220339,24.079001883239172
157,15,-73.90232968131362,40.7239950749335,60,2479,22.71465648854962,18.229601357082274
3,7,-73.84742223236717,40.86447368477547,77,2478,23.544233983286905,17.351949860724236
152,22,-73.95378223705632,40.81797514762944,2,2478,24.77823863636364,17.090056818181818
170,2,-73.97849159965227,40.747745793643915,2,2478,37.05098630136987,18.109817351598174
28,12,-73.80872901637515,40.7115963579451,62,2476,25.92720930232558,19.404166666666665
250,15,-73.84864070062378,40.832101659632144,40,2474,23.616015228426395,18.759771573604063
136,22,-73.90591118270508,40.8652641915249,31,2473,20.655770308123248,14.597478991596638
127,11,-73.91930823586193,40.8660750007278,31,2473,28.204835164835163,19.15224358974359
182,12,-73.85798694048574,40.83774866435355,40,2471,25.201613756613753,20.28690476190476
127,2,-73.91930823586193,40.8660750007278,31,2470,23.56412568306011,14.420719489981785
227,9,-74.00465205914722,40.641886315765205,75,2469,22.488341708542716,17.423576214405358
259,20,-73.85221545370123,40.89793202529466,48,2469,23.74938829787234,15.430274822695036
39,4,-73.8997349566939,40.638037139117074,13,2467,27.92198863636364,16.37845643939394
70,11,-73.8683955984202,40.76335220113318,66,2467,30.31459239130435,19.21358695652174
160,9,-73.8800514081495,40.718336770013686,70,2465,25.910138504155125,18.966897506925207
197,0,-73.83092407449993,40.69454235438128,36,2463,21.455967302452315,13.920890099909172
4,13,-73.97696825691769,40.7237521415848,2,2463,32.42347107438016,20.748209366391187
231,4,-74.00787970866399,40.717772736265154,2,2461,49.14734417344173,20.30252935862692
102,15,-73.87573576709775,40.70354561076291,67,2460,23.218997289972897,18.5836495031617
32,17,-73.86490099876723,40.86400220602362,31,2459,23.386,19.4448
160,17,-73.8800514081495,40.718336770013686,70,2458,25.005841836734696,20.051530612244896
22,22,-73.99525857986234,40.61221825780564,45,2456,24.497047872340424,17.339051418439716
242,0,-73.85067057708335,40.84678289580983,40,2456,20.734828496042216,14.050263852242745
200,15,-73.9069871077142,40.899529064376466,78,2456,32.00866666666667,18.308044444444445
136,17,-73.90591118270508,40.8652641915249,31,2456,21.417246376811594,18.074830917874397
28,18,-73.80872901637515,40.7115963579451,62,2456,25.88781862745098,19.292279411764707
160,7,-73.8800514081495,40.718336770013686,70,2455,27.518143564356436,18.9881600660066
